dimension	x	z	world_rng_next_calls	lighting_drain_calls
0	9	8	397	7
0	9	9	397	6
0	9	10	397	7
0	10	-14	397	1
0	10	-13	397	4
0	10	-12	397	3
0	10	-11	397	2
0	10	-10	397	3
0	10	-9	397	3
0	10	-8	397	2
0	10	-7	397	1
0	10	-6	397	2
0	10	-5	397	2
0	10	-4	397	2
0	10	-3	397	2
0	10	-2	397	2
0	10	-1	397	2
0	10	0	397	2
0	10	1	397	2
0	10	2	397	2
0	10	3	397	2
0	10	4	397	2
0	10	5	397	2
0	10	6	397	2
0	10	7	397	2
0	10	8	397	6
0	10	9	397	4
0	10	10	397	6
0	11	-14	397	1
0	11	-13	397	2
0	11	-12	402	3
0	11	-11	402	3
0	11	-10	402	3
0	11	-9	402	3
0	11	-8	402	2
0	11	-7	402	2
0	11	-6	402	3
0	11	-5	402	2
0	11	-4	402	1
0	11	-3	404	2
0	11	-2	404	2
0	11	-1	404	1
0	11	0	404	1
0	11	1	404	2
0	11	2	404	2
0	11	3	404	2
0	11	4	404	2
0	11	5	404	3
0	11	6	404	3
0	11	7	404	3
0	11	8	404	4
0	11	9	404	8
0	11	10	404	2
0	12	-14	404	1
0	12	-13	404	5
0	12	-12	407	4
0	12	-11	407	3
0	12	-10	407	4
0	12	-9	413	2
0	12	-8	413	3
0	12	-7	413	2
0	12	-6	413	2
0	12	-5	413	2
0	12	-4	413	2
0	12	-3	413	2
0	12	-2	413	2
0	12	-1	413	2
0	12	0	413	2
0	12	1	413	1
0	12	2	413	2
0	12	3	413	2
0	12	4	413	2
0	12	5	413	2
0	12	6	413	3
0	12	7	413	3
0	12	8	413	3
0	12	9	413	10
0	12	10	413	2
0	13	-14	413	1
0	13	-13	451	5
0	13	-12	451	2
0	13	-11	451	4
0	13	-10	451	3
0	13	-9	465	3
0	13	-8	473	3
0	13	-7	479	2
0	13	-6	479	2
0	13	-5	479	2
0	13	-4	479	2
0	13	-3	479	2
0	13	-2	479	1
0	13	-1	479	2
0	13	0	479	2
0	13	1	479	2
0	13	2	479	2
0	13	3	479	2
0	13	4	479	4
0	13	5	487	3
0	13	6	487	2
0	13	7	487	2
0	13	8	487	5
0	13	9	487	9
0	13	10	487	2
1	-11	-14	0	1
1	-11	-13	0	1
1	-11	-12	0	1
1	-11	-11	0	1
1	-11	-10	0	1
1	-11	-9	0	1
1	-11	-8	0	1
1	-11	-7	0	1
1	-11	-6	0	1
1	-11	-5	0	1
1	-11	-4	0	1
1	-11	-3	0	1
1	-11	-2	0	1
1	-11	-1	0	1
1	-11	0	0	1
1	-11	1	0	1
1	-11	2	0	1
1	-11	3	0	1
1	-11	4	0	1
1	-11	5	0	1
1	-11	6	0	1
1	-11	7	0	1
1	-11	8	0	1
1	-11	9	0	1
1	-11	10	0	1
1	-10	-14	0	1
1	-10	-13	0	36
1	-10	-12	0	4
1	-10	-11	0	9
1	-10	-10	0	1
1	-10	-9	0	1
1	-10	-8	0	7
1	-10	-7	0	3
1	-10	-6	0	1
1	-10	-5	0	1
1	-10	-4	0	1
1	-10	-3	0	97
1	-10	-2	0	1
1	-10	-1	0	1
1	-10	0	0	1
1	-10	1	0	1
1	-10	2	0	5
1	-10	3	0	1
1	-10	4	0	1
1	-10	5	0	1
1	-10	6	0	1
1	-10	7	0	1
1	-10	8	0	1
1	-10	9	0	1
1	-10	10	0	142
1	-9	-14	0	1
1	-9	-13	0	48
1	-9	-12	0	7
1	-9	-11	0	3
1	-9	-10	0	1
1	-9	-9	0	1
1	-9	-8	0	6
1	-9	-7	0	2
1	-9	-6	0	1
1	-9	-5	0	1
1	-9	-4	0	1
1	-9	-3	0	13
1	-9	-2	0	11
1	-9	-1	0	1
1	-9	0	0	1
1	-9	1	0	7
1	-9	2	0	1
1	-9	3	0	1
1	-9	4	0	1
1	-9	5	0	1
1	-9	6	0	1
1	-9	7	0	1
1	-9	8	0	1
1	-9	9	0	1
1	-9	10	0	103
1	-8	-14	0	1
1	-8	-13	0	9
1	-8	-12	0	1
1	-8	-11	0	1
1	-8	-10	0	1
1	-8	-9	0	48
1	-8	-8	0	1
1	-8	-7	0	1
1	-8	-6	0	1
1	-8	-5	0	1
1	-8	-4	0	13
1	-8	-3	0	14
1	-8	-2	0	1
1	-8	-1	0	1
1	-8	0	0	17
1	-8	1	0	12
1	-8	2	0	2
1	-8	3	0	26
1	-8	4	0	1
1	-8	5	0	1
1	-8	6	0	1
1	-8	7	0	1
1	-8	8	0	1
1	-8	9	0	1
1	-8	10	0	1
1	-7	-14	0	1
1	-7	-13	0	5
1	-7	-12	0	1
1	-7	-11	0	1
1	-7	-10	0	4
1	-7	-9	0	5
1	-7	-8	0	1
1	-7	-7	0	12
1	-7	-6	0	1
1	-7	-5	0	1
1	-7	-4	0	1
1	-7	-3	0	1
1	-7	-2	0	1
1	-7	-1	0	1
